leadid,personname,gender,companyname,contactno,email,city,state,territoryid,regionid,productid,statusid,leadsourceid,businessneed,lead_gen_date,added_by,added_dts,executiveid
1,Person 1,Male,Company 1,900000001,person1@mail.com,City1,State1,22,2,6,1,1,Business need 1,2025-12-13,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,22
2,Person 2,Male,Company 2,900000002,person2@mail.com,City2,State2,46,4,1,3,6,Business need 2,2025-11-13,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,46
3,Person 3,Female,Company 3,900000003,person3@mail.com,City3,State3,23,2,2,2,4,Business need 3,2025-11-19,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,23
4,Person 4,Male,Company 4,900000004,person4@mail.com,City4,State4,40,4,3,4,4,Business need 4,2025-11-03,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,40
5,Person 5,Female,Company 5,900000005,person5@mail.com,City5,State5,47,4,9,5,3,Business need 5,2025-11-08,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,47
6,Person 6,Male,Company 6,900000006,person6@mail.com,City6,State6,20,2,6,2,5,Business need 6,2025-12-16,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,20
7,Person 7,Female,Company 7,900000007,person7@mail.com,City7,State7,21,2,6,1,2,Business need 7,2025-11-10,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,21
8,Person 8,Male,Company 8,900000008,person8@mail.com,City8,State8,46,4,2,2,2,Business need 8,2025-11-30,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,46
9,Person 9,Female,Company 9,900000009,person9@mail.com,City9,State9,11,1,10,4,1,Business need 9,2025-11-25,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,11
10,Person 10,Male,Company 10,900000010,person10@mail.com,City10,State0,7,1,12,1,5,Business need 10,2025-11-20,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,7
11,Person 11,Female,Company 11,900003001,person11@mail.com,City11,State1,8,1,6,1,1,Business need 11,2025-11-16,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,8
12,Person 12,Male,Company 12,900000012,person12@mail.com,City12,State2,36,3,7,1,5,Business need 12,2025-12-04,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,36
13,Person 13,Female,Company 13,900000013,person13@mail.com,City13,State3,8,1,12,3,2,Business need 13,2025-11-14,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,8
14,Person 14,Male,Company 14,900000014,person14@mail.com,City14,State4,37,4,4,3,4,Business need 14,2025-11-13,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,37
15,Person 15,Female,Company 15,900000015,person15@mail.com,City15,State5,36,3,8,1,5,Business need 15,2025-11-05,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,36
16,Person 16,Male,Company 16,900000016,person16@mail.com,City16,State6,4,1,5,4,6,Business need 16,2025-11-06,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,4
17,Person 17,Female,Company 17,900000017,person17@mail.com,City17,State7,44,4,9,2,6,Business need 17,2025-11-30,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,44
18,Person 18,Male,Company 18,900000018,person18@mail.com,City18,State8,11,1,9,4,1,Business need 18,2025-11-03,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,11
19,Person 19,Female,Company 19,900000019,person19@mail.com,City19,State9,1,1,12,4,2,Business need 19,2025-12-04,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,1
20,Person 20,Male,Company 20,900000020,person20@mail.com,City0,State0,36,3,8,2,2,Business need 20,2025-11-18,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,36
21,Person 21,Female,Company 21,900000021,person21@mail.com,City1,State1,39,4,6,2,3,Business need 21,2025-11-29,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,39
22,Person 22,Male,Company 22,900000022,person22@mail.com,City2,State2,46,4,2,5,3,Business need 22,2025-11-15,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,46
23,Person 23,Female,Company 23,900000023,person23@mail.com,City3,State3,42,4,2,3,6,Business need 23,2025-11-16,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,42
24,Person 24,Male,Company 24,900000024,person24@mail.com,City4,State4,32,3,9,3,6,Business need 24,2025-12-02,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,32
25,Person 25,Female,Company 25,900000025,person25@mail.com,City5,State5,2,1,3,5,6,Business need 25,2025-11-01,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,2
26,Person 26,Male,Company 26,900000026,person26@mail.com,City6,State6,5,1,3,3,1,Business need 26,2025-11-22,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,5
27,Person 27,Female,Company 27,900000027,person27@mail.com,City7,State7,37,4,6,2,6,Business need 27,2025-12-05,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,37
28,Person 28,Male,Company 28,900000028,person28@mail.com,City8,State8,43,4,3,4,6,Business need 28,2025-11-21,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,43
29,Person 29,Female,Company 29,900000029,person29@mail.com,City9,State9,36,3,8,4,1,Business need 29,2025-11-28,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,36
30,Person 30,Male,Company 30,900000030,person30@mail.com,City10,State0,15,2,5,3,6,Business need 30,2025-11-04,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,15
31,Person 31,Female,Company 31,900000031,person31@mail.com,City11,State1,42,4,6,3,5,Business need 31,2025-11-10,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,42
32,Person 32,Male,Company 32,900000032,person32@mail.com,City12,State2,28,3,10,2,6,Business need 32,2025-11-18,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,28
33,Person 33,Female,Company 33,900000033,person33@mail.com,City13,State3,14,2,7,1,4,Business need 33,2025-11-01,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,14
34,Person 34,Male,Company 34,900000034,person34@mail.com,City14,State4,12,1,1,4,6,Business need 34,2025-12-06,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,12
35,Person 35,Female,Company 35,900000035,person35@mail.com,City15,State5,31,3,12,3,3,Business need 35,2025-11-02,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,31
36,Person 36,Male,Company 36,900000036,person36@mail.com,City16,State6,11,1,11,3,6,Business need 36,2025-11-01,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,11
37,Person 37,Female,Company 37,900000037,person37@mail.com,City17,State7,6,1,7,4,4,Business need 37,2025-11-27,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,6
38,Person 38,Male,Company 38,900000038,person38@mail.com,City18,State8,12,1,1,3,2,Business need 38,2025-11-07,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,12
39,Person 39,Female,Company 39,900000039,person39@mail.com,City19,State9,26,3,4,4,5,Business need 39,2025-12-05,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,26
40,Person 40,Male,Company 40,900000040,person40@mail.com,City0,State0,21,2,4,3,5,Business need 40,2025-11-16,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,21
41,Person 41,Female,Company 41,900000041,person41@mail.com,City1,State1,43,4,1,3,6,Business need 41,2025-11-12,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,43
42,Person 42,Male,Company 42,900000042,person42@mail.com,City2,State2,33,3,2,1,4,Business need 42,2025-11-03,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,33
43,Person 43,Female,Company 43,900000043,person43@mail.com,City3,State3,9,1,10,4,4,Business need 43,2025-11-06,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,9
44,Person 44,Male,Company 44,900000044,person44@mail.com,City4,State4,26,3,8,3,5,Business need 44,2025-11-14,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,26
45,Person 45,Female,Company 45,900000045,person45@mail.com,City5,State5,45,4,7,2,6,Business need 45,2025-12-22,EC2AMAZ-DUTAITC\Swast_Archie,2025-12-31 23:03:24.227,45
